Date,Year,Month,Quarter,BusRidership,DieselPrice,HighwayMilesTraveled,TransitEmployment,IsCOVIDPeriod,EstimatedCostPerPassenger
2015-01-01,2015,1,1,406792856.0,2.997,,495700.0,False,3.6836930095940523e-05
2015-02-01,2015,2,1,391716828.0,2.858,,492200.0,False,3.6480434279427994e-05
2015-03-01,2015,3,1,445890962.0,2.897,,495800.0,False,3.248552052956839e-05
2015-04-01,2015,4,2,441944313.0,2.782,,496600.0,False,3.147455367300993e-05
2015-05-01,2015,5,2,425134377.0,2.888,,501700.0,False,3.396573126336476e-05
2015-06-01,2015,6,2,415136968.0,2.873,,477900.0,False,3.460303732815238e-05
2015-07-01,2015,7,3,414987604.0,2.788,,427400.0,False,3.3591364815803025e-05
2015-08-01,2015,8,3,413682682.0,2.595,,427100.0,False,3.136461970627042e-05
2015-09-01,2015,9,3,443018225.0,2.505,,497900.0,False,2.8271974589758696e-05
2015-10-01,2015,10,4,463955116.0,2.519,,503600.0,False,2.714702255810452e-05
2015-11-01,2015,11,4,411420986.0,2.467,,501100.0,False,2.998145554004384e-05
2015-12-01,2015,12,4,406962247.0,2.31,,502900.0,False,2.838101097864245e-05
2016-01-01,2016,1,1,386755389.0,2.143,,496100.0,False,2.7704849899324862e-05
2016-02-01,2016,2,1,407901595.0,1.998,,496800.0,False,2.449120111923073e-05
2016-03-01,2016,3,1,439052186.0,2.09,,503700.0,False,2.3801270858494255e-05
2016-04-01,2016,4,2,420637828.0,2.152,,506700.0,False,2.5580200552005513e-05
2016-05-01,2016,5,2,413648699.0,2.315,,510700.0,False,2.79826819907392e-05
2016-06-01,2016,6,2,398921201.0,2.423,,480600.0,False,3.0369406212631952e-05
2016-07-01,2016,7,3,375914623.0,2.405,,433100.0,False,3.1988646528390035e-05
2016-08-01,2016,8,3,410037936.0,2.351,,440700.0,False,2.8668079140852956e-05
2016-09-01,2016,9,3,427679116.0,2.394,,498100.0,False,2.7988273339023643e-05
2016-10-01,2016,10,4,427759202.0,2.454,,505000.0,False,2.8684362469892583e-05
2016-11-01,2016,11,4,399448050.0,2.439,,506700.0,False,3.052962706915205e-05
2016-12-01,2016,12,4,376472088.0,2.51,,504000.0,False,3.3335804698488025e-05
2017-01-01,2017,1,1,379032287.0,2.58,,501600.0,False,3.40340399550184e-05
2017-02-01,2017,2,1,373246708.0,2.568,,505200.0,False,3.440083924330285e-05
2017-03-01,2017,3,1,415647479.0,2.554,,508200.0,False,3.072315037426223e-05
2017-04-01,2017,4,2,388066756.0,2.583,,503600.0,False,3.328035653742008e-05
2017-05-01,2017,5,2,405517838.0,2.56,,516200.0,False,3.156457941068427e-05
2017-06-01,2017,6,2,381873194.0,2.511,,490200.0,False,3.2877405896157245e-05
2017-07-01,2017,7,3,361210003.0,2.496,,433000.0,False,3.4550538180970586e-05
2017-08-01,2017,8,3,392451528.0,2.595,,428100.0,False,3.3061407777217274e-05
2017-09-01,2017,9,3,398194634.0,2.785,,513800.0,False,3.497033563742097e-05
2017-10-01,2017,10,4,425403015.0,2.794,,516300.0,False,3.283944755304567e-05
2017-11-01,2017,11,4,390921668.0,2.909,,511500.0,False,3.7206942440448194e-05
2017-12-01,2017,12,4,357674882.0,2.909,,510600.0,False,4.066542195713927e-05
2018-01-01,2018,1,1,369920847.0,3.018,244736000000.0,502300.0,False,4.079251040425953e-05
2018-02-01,2018,2,1,364782170.0,3.046,227759000000.0,506900.0,False,4.175094413194592e-05
2018-03-01,2018,3,1,393604986.0,2.988,270705000000.0,506700.0,False,3.7956836248004234e-05
2018-04-01,2018,4,2,392252372.0,3.096,275127000000.0,506300.0,False,3.946438850343013e-05
2018-05-01,2018,5,2,400194774.0,3.244,283713000000.0,508400.0,False,4.053026439570648e-05
2018-06-01,2018,6,2,373053040.0,3.253,282648000000.0,491000.0,False,4.3599698316357376e-05
2018-07-01,2018,7,3,362119816.0,3.233,290989000000.0,432900.0,False,4.463992105861448e-05
2018-08-01,2018,8,3,392397741.0,3.218,284989000000.0,434200.0,False,4.100431352890994e-05
2018-09-01,2018,9,3,385074986.0,3.262,267434000000.0,509400.0,False,4.235538685444502e-05
2018-10-01,2018,10,4,437208668.0,3.365,281382000000.0,513500.0,False,3.848276859872321e-05
2018-11-01,2018,11,4,381708475.0,3.3,260473000000.0,512600.0,False,4.322670593048792e-05
2018-12-01,2018,12,4,356661196.0,3.123,270370000000.0,512000.0,False,4.3781045359361164e-05
2019-01-01,2019,1,1,367851089.0,2.98,246517000000.0,503900.0,False,4.050552097182999e-05
2019-02-01,2019,2,1,354692992.0,2.997,229346000000.0,509700.0,False,4.2247803982549505e-05
2019-03-01,2019,3,1,390228157.0,3.076,272537000000.0,511800.0,False,3.941284021696056e-05
2019-04-01,2019,4,2,397479345.0,3.121,276976000000.0,515100.0,False,3.925990166860117e-05
2019-05-01,2019,5,2,399640786.0,3.161,285544000000.0,514800.0,False,3.954801550210143e-05
2019-06-01,2019,6,2,362002815.0,3.089,284106000000.0,492600.0,False,4.266541407972201e-05
2019-07-01,2019,7,3,369257081.0,3.045,292680000000.0,423900.0,False,4.123143680486387e-05
2019-08-01,2019,8,3,384027047.0,3.005,286439000000.0,422600.0,False,3.9124848412044266e-05
2019-09-01,2019,9,3,396062247.0,3.016,268847000000.0,505300.0,False,3.8074823122437115e-05
2019-10-01,2019,10,4,426327140.0,3.053,282972000000.0,509200.0,False,3.580583680410307e-05
2019-11-01,2019,11,4,371791492.0,3.069,261735000000.0,508800.0,False,4.127313381340098e-05
2019-12-01,2019,12,4,352319744.0,3.055,272191000000.0,509000.0,False,4.335550380054772e-05
2020-01-01,2020,1,1,375738346.0,3.048,260847000000.0,503000.0,False,4.0560140220556565e-05
2020-02-01,2020,2,1,364933382.0,2.91,242695000000.0,504600.0,False,3.987029062745485e-05
2020-03-01,2020,3,1,260816728.0,2.729,226638000000.0,497900.0,True,5.231642964250361e-05
2020-04-01,2020,4,2,111044589.0,2.493,167617000000.0,319800.0,True,0.00011225220528305075
2020-05-01,2020,5,2,131468213.0,2.392,221006000000.0,317000.0,True,9.097256079688252e-05
2020-06-01,2020,6,2,161043900.0,2.408,250330000000.0,294800.0,True,7.47622232198798e-05
2020-07-01,2020,7,3,184922699.0,2.434,265550000000.0,260200.0,True,6.581128258354048e-05
2020-08-01,2020,8,3,188679987.0,2.429,265060000000.0,267100.0,True,6.436824696198437e-05
2020-09-01,2020,9,3,184078159.0,2.414,257531000000.0,349200.0,True,6.556997345893708e-05
2020-10-01,2020,10,4,191331339.0,2.389,266596000000.0,381600.0,True,6.243096432832678e-05
2020-11-01,2020,11,4,171690041.0,2.432,238300000000.0,379600.0,True,7.082530779988573e-05
2020-12-01,2020,12,4,169870505.0,2.585,241451000000.0,368200.0,True,7.608737020002384e-05
2021-01-01,2021,1,1,161820364.0,2.681,231030000000.0,355000.0,True,8.283877052705184e-05
2021-02-01,2021,2,1,152522937.0,2.847,213038000000.0,368900.0,True,9.333022481726798e-05
2021-03-01,2021,3,1,191455592.0,3.152,269475000000.0,381200.0,True,8.231673901695178e-05
2021-04-01,2021,4,2,192262431.0,3.13,259463000000.0,385000.0,True,8.13991580081498e-05
2021-05-01,2021,5,2,194813021.0,3.217,284366000000.0,390900.0,True,8.256634960760657e-05
2021-06-01,2021,6,2,202268955.0,3.287,286930000000.0,369100.0,True,8.125320071980398e-05
2021-07-01,2021,7,3,208488891.0,3.339,296475000000.00006,329100.0,True,8.007620895254319e-05
2021-08-01,2021,8,3,217651050.0,3.35,287422000000.0,324500.0,True,7.695804821525097e-05
2021-09-01,2021,9,3,238026356.0,3.384,277999000000.0,394800.0,True,7.108456510589105e-05
2021-10-01,2021,10,4,247427537.0,3.612,285759000000.0,409700.0,True,7.299106727962942e-05
2021-11-01,2021,11,4,233201910.0,3.727,267749000000.0,409600.0,True,7.990929405338061e-05
2021-12-01,2021,12,4,220578481.0,3.641,268420000000.0,410900.0,True,8.253298289781948e-05
2022-01-01,2022,1,1,197955304.0,3.724,240540000000.0,404000.0,False,9.406163726737021e-05
2022-02-01,2022,2,1,209313487.0,4.032,235668000000.0,415700.0,False,9.631486383865938e-05
2022-03-01,2022,3,1,251459272.0,5.105,,416000.0,False,0.00010150749183748533
2022-04-01,2022,4,2,243796592.0,5.12,,419700.0,False,0.000105005569561038
2022-05-01,2022,5,2,249522609.0,5.571,,424400.0,False,0.00011163317068394391
2022-06-01,2022,6,2,244611374.0,5.754,,400900.0,False,0.00011761513591759636
2022-07-01,2022,7,3,236750057.0,5.486,,360900.0,False,0.00011586058456577266
2022-08-01,2022,8,3,263013776.0,5.013,,358800.0,False,9.529919071615473e-05
2022-09-01,2022,9,3,276031715.0,4.993,,434300.0,False,9.04425058548073e-05
2022-10-01,2022,10,4,283067253.0,5.211,,439400.0,False,9.204526388645882e-05
2022-11-01,2022,11,4,262044591.0,5.255,,439600.0,False,0.00010026919426091111
2022-12-01,2022,12,4,246113311.0,4.714,,444100.0,False,9.576889565310836e-05
2023-01-01,2023,1,1,,4.576,,444000.0,False,
2023-02-01,2023,2,1,,4.413,,,False,
2023-03-01,2023,3,1,,,,,False,
2023-04-01,2023,4,2,,,,,False,
2023-05-01,2023,5,2,,,,,False,
2023-06-01,2023,6,2,,,,,False,
2023-07-01,2023,7,3,,,,,False,
2023-08-01,2023,8,3,,,,,False,
2023-09-01,2023,9,3,,,,,False,
2023-10-01,2023,10,4,,,,,False,
2023-11-01,2023,11,4,,,,,False,
2023-12-01,2023,12,4,,,,,False,
